color,color_name,hex,R,G,B,simplified_color
dark_pastel_red,Dark Pastel Red,#c23b22,194,59,34,Red
dark_pink,Dark Pink,#e75480,231,84,128,Pink
dark_powder_blue,Dark Powder Blue,#039,0,51,153,Blue
dark_red,Dark Red,#8b0000,139,0,0,Red
dark_sea_green,Dark Sea Green,#8fbc8f,143,188,143,Green
dark_slate_blue,Dark Slate Blue,#483d8b,72,61,139,Blue
dark_slate_gray,Dark Slate Gray,#2f4f4f,47,79,79,Gray
dark_spring_green,Dark Spring Green,#177245,23,114,69,Green
dark_yellow,Dark Yellow,#9b870c,155,135,12,Yellow
dartmouth_green,Dartmouth Green,#00703c,0,112,60,Green
debian_red,Debian Red,#d70a53,215,10,83,Red
deep_carmine_pink,Deep Carmine Pink,#ef3038,239,48,56,Pink
deep_carrot_orange,Deep Carrot Orange,#e9692c,233,105,44,Orange
deep_jungle_green,Deep Jungle Green,#004b49,0,75,73,Green
deep_pink,Deep Pink,#ff1493,255,20,147,Pink
deep_sky_blue,Deep Sky Blue,#00bfff,0,191,255,Blue
deep_tuscan_red,Deep Tuscan Red,#66424d,102,66,77,Red
dim_gray,Dim Gray,#696969,105,105,105,Gray
dodger_blue,Dodger Blue,#1e90ff,30,144,255,Blue
duke_blue,Duke Blue,#00009c,0,0,156,Blue
earth_yellow,Earth Yellow,#e1a95f,225,169,95,Yellow
egyptian_blue,Egyptian Blue,#1034a6,16,52,166,Blue
electric_blue,Electric Blue,#7df9ff,125,249,255,Blue
electric_green,Electric Green,#0f0,0,255,0,Green
electric_purple,Electric Purple,#bf00ff,191,0,255,Purple
electric_yellow,Electric Yellow,#ff0,255,255,0,Yellow
eton_blue,Eton Blue,#96c8a2,150,200,162,Blue
falu_red,Falu Red,#801818,128,24,24,Red
fern_green,Fern Green,#4f7942,79,121,66,Green
ferrari_red,Ferrari Red,#ff2800,255,40,0,Red
fire_engine_red,Fire Engine Red,#ce2029,206,32,41,Red
flamingo_pink,Flamingo Pink,#fc8eac,252,142,172,Pink
floral_white,Floral White,#fffaf0,255,250,240,White
fluorescent_orange,Fluorescent Orange,#ffbf00,255,191,0,Orange
fluorescent_yellow,Fluorescent Yellow,#cf0,204,255,0,Yellow
forest_green_traditional,Forest Green (Traditional),#014421,1,68,33,Green
forest_green_web,Forest Green (Web),#228b22,34,139,34,Green
french_blue,French Blue,#0072bb,0,114,187,Blue
fuchsia_pink,Fuchsia Pink,#f7f,255,119,255,Pink
ghost_white,Ghost White,#f8f8ff,248,248,255,White
golden_brown,Golden Brown,#996515,153,101,21,Brown
golden_yellow,Golden Yellow,#ffdf00,255,223,0,Yellow
gray,Gray,#808080,128,128,128,Gray
gray_asparagus,Gray-Asparagus,#465945,70,89,69,Gray
gray_x11_gray,Gray (X11 Gray),#bebebe,190,190,190,Gray
green_crayola,Green (Crayola),#1cac78,28,172,120,Green
green_html_css_green,Green (Html/Css Green),#008000,0,128,0,Green
